"rok","odvetvi","prumerna_mzda","potravina","prumerna_cena"
2006,Informační a komunikační činnosti,34942.000000000000,Vejce slepičí čerstvá,23.494840000000032
2006,Informační a komunikační činnosti,34942.000000000000,Vepřová pečeně s kostí,105.17778666666652
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Banány žluté,27.30463999999989
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Cukr krystalový,21.726613333333397
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Eidamská cihla,110.9466533333334
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Hovězí maso zadní bez kosti,166.33739999999966
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Chléb konzumní kmínový,16.123640000000076
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Jablka konzumní,30.714546666666575
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Jogurt bílý netučný,5.8293599999999755
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Kapr živý,69.34977777777782
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Konzumní brambory,12.07492
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Kuřata kuchaná celá,47.473759999999814
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Máslo,104.38782666666631
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Mléko polotučné pasterované,14.437839999999966
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Mrkev,14.40926666666659
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Papriky,35.31015999999993
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Pečivo pšeničné bílé,38.59642666666694
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,"Pivo výčepní, světlé, lahvové",8.449613333333343
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Pomeranče,24.733173333333266
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Přírodní minerální voda uhličitá,7.687919999999996
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Pšeničná mouka hladká,7.407573333333316
